11:22:33  |  Core  |  Info  |  Register value : 'Default' = 10  |  d:\mygui\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  248
11:22:33  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTheme.xml'  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
11:22:33  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteImages.xml'  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
11:22:33  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteSkins.xml'  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
11:22:33  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
11:22:33  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
11:22:33  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
11:22:33  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
11:22:33  |  Core  |  Info  |  Gui successfully initialized  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_Gui.cpp  |  133
11:22:33  |  Core  |  Warning  |  Texture 'butMap.png' have non power of two size  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_TextureUtility.cpp  |  76
